Category;Model;Model Year;Manufacturer;Fuel;↑ All-Electric Range;Alternative Fuel Economy City;Alternative Fuel Economy Highway;Alternative Fuel Economy Combined;Engine Type;Engine Size;tnco2/100mi;price
Sedan/Wagon;Bolt EUV;2022;Chevrolet;Electric;247;125;104;115;e-motor;150 kW electric motor;0.042331725;
Sedan/Wagon;Bolt EV;2022;Chevrolet;Electric;259;131;109;120;e-motor;150 kW electric motor;0.044172235;
Sedan/Wagon;EV6 AWD (Long Range) ;2022;Kia;Electric;274;116;94;105;e-motor;74 kW and 165 kW electric motors;0.038650706;
Sedan/Wagon;EV6 RWD;2022;Kia;Electric;232;136;100;117;e-motor;125 kW electric motor;0.043067929;
Sedan/Wagon;EV6 RWD (Long Range) ;2022;Kia;Electric;310;134;101;117;e-motor;168 kW electric motor;0.043067929;
Sedan/Wagon;Niro Electric;2022;Kia;Electric;239;123;102;112;e-motor;150 kW electric motor;0.04122742;38105
Sedan/Wagon;MX-30;2022;Mazda;Electric;100;98;85;92;e-motor;81 kW electric motor;0.03386538;32646
Sedan/Wagon;Leaf (40 kWh battery pack);2022;Nissan;Electric;149;123;99;111;e-motor;110 kW electric motor;0.040859318;
Sedan/Wagon;Leaf (62 kWh battery pack);2022;Nissan;Electric;226;118;97;108;e-motor;160 kW electric motor;0.039755012;
Sedan/Wagon;Leaf SV/SL (62 kWh battery pack);2022;Nissan;Electric;215;114;94;104;e-motor;160 kW electric motor;0.038282604;
Sedan/Wagon;Model 3 (Long Range) AWD;2022;Tesla;Electric;353;134;126;131;e-motor;98 kW and 195 kW electric motors;0.048221357;
Sedan/Wagon;Model 3 Performance AWD;2022;Tesla;Electric;315;118;107;113;e-motor;131kW and 190 kW electric motors;0.041595521;
Sedan/Wagon;Model 3 RWD;2022;Tesla;Electric;272;138;126;132;e-motor;192 kW electric motor;0.048589459;
Sedan/Wagon;Model S ;2022;Tesla;Electric;405;124;115;120;e-motor;247 kW dual electric motors;0.044172235;
Sedan/Wagon;"Model S Plaid (19"" Wheels)";2022;Tesla;Electric;396;119;112;116;e-motor;250 kW electric motors (X3);0.042699827;
Sedan/Wagon;"Model S Plaid (21"" Wheels)";2022;Tesla;Electric;348;102;99;101;e-motor;250 kW electric motors (X3);0.037178298;
Sedan/Wagon;Bolt EV;2021;Chevrolet;Electric;259;127;108;118;e-motor;150 kW electric motor;0.044752627;
Sedan/Wagon;Mustang Mach-E AWD;2021;Ford;Electric;211;100;86;93;e-motor;198 kW electric motor;0.035271138;
Sedan/Wagon;Mustang Mach-E AWD Extended;2021;Ford;Electric;270;96;84;90;e-motor;209 kW electric motor;0.03413336;
Sedan/Wagon;Mustang Mach-E GT AWD;2021;Ford;Electric;270;90;77;84;e-motor;179  kW electric motors (X2);0.031857802;
Sedan/Wagon;Mustang Mach-E GT AWD;2021;Ford;Electric;260;88;75;82;e-motor;179  kW electric motors (X2);0.031099283;
Sedan/Wagon;Mustang Mach-E RWD;2021;Ford;Electric;230;105;93;100;e-motor;198 kW electric motor;0.037925955;
Sedan/Wagon;Mustang Mach-E RWD California Route 1;2021;Ford;Electric;305;108;94;101;e-motor;216 kW electric motor;0.038305215;
Sedan/Wagon;Mustang Mach-E RWD Extended;2021;Ford;Electric;300;104;90;97;e-motor;216 kW electric motor;0.036788176;
Sedan/Wagon;Ioniq Electric;2021;Hyundai;Electric;170;145;121;133;e-motor;100 kW electric motor;0.05044152;
Sedan/Wagon;K27;2021;Kandi;Electric;59;127;102;114;e-motor;20 kW electric motor;0.043235589;
Sedan/Wagon;Niro Electric;2021;Kia;Electric;239;123;102;112;e-motor;150 kW electric motor;0.04247707;38105
Sedan/Wagon;Leaf (40 kWh battery pack);2021;Nissan;Electric;149;123;99;111;e-motor;110 kW electric motor;0.04209781;
Sedan/Wagon;Leaf (62 kWh battery pack);2021;Nissan;Electric;226;118;97;108;e-motor;160 kW electric motor;0.040960031;
Sedan/Wagon;Leaf SV/SL (62 kWh battery pack);2021;Nissan;Electric;215;114;94;104;e-motor;160 kW electric motor;0.039442993;
Sedan/Wagon;Model 3 Long Range AWD;2021;Tesla;Electric;353;141;127;134;e-motor;131 and 190 kW electric motors;0.05082078;
Sedan/Wagon;Model 3 Performance AWD;2021;Tesla;Electric;315;118;107;113;e-motor;131 and 190 kW electric motors;0.042856329;
Sedan/Wagon;Model 3 Standard Range Plus RWD;2021;Tesla;Electric;263;150;133;142;e-motor;198 kW electric motor;0.053854856;
Sedan/Wagon;Model S Long Range;2021;Tesla;Electric;405;124;115;120;e-motor;179 kW and 186 kW electric motor;0.045511146;
Sedan/Wagon;"Model S Performance (19"" Wheels)";2021;Tesla;Electric;387;114;106;110;e-motor;149 kW and 276 kW electric motor;0.041718551;
Sedan/Wagon;"Model S Plaid (21"" Wheels)";2021;Tesla;Electric;348;102;99;101;e-motor;250 kW electric motors (X3);0.038305215;
SUV;Mustang Mach-E AWD;2022;Ford;Electric;224;98;86;93;e-motor;198 kW electric motors (x2);0.034233482;
SUV;Mustang Mach-E AWD California Route 1;2022;Ford;Electric;312;105;91;98;e-motor;258 kW electric motors (x2);0.036073992;
SUV;Mustang Mach-E AWD Extended;2022;Ford;Electric;277;97;84;91;e-motor;258 kW electric motors (x2);0.033497278;
SUV;Mustang Mach-E GT AWD;2022;Ford;Electric;270;90;77;84;e-motor;179  kW electric motors (X2);0.030920565;
SUV;Mustang Mach-E GT Performance;2022;Ford;Electric;260;88;75;82;e-motor;179  kW electric motor;0.030184361;
SUV;Mustang Mach-E RWD;2022;Ford;Electric;247;110;96;103;e-motor;198 kW electric motor;0.037914502;
SUV;Mustang Mach-E RWD California Route 1;2022;Ford;Electric;314;108;94;101;e-motor;216 kW electric motor;0.037178298;
SUV;Mustang Mach-E RWD Extended;2022;Ford;Electric;303;104;90;97;e-motor;216 kW electric motor;0.03570589;
SUV;Ioniq 5 AWD (Long Range);2022;Hyundai;Electric;256;110;87;98;e-motor;74 kW and 165 kW electric motors;0.036073992;
SUV;Ioniq 5 RWD;2022;Hyundai;Electric;220;127;94;110;e-motor;125 kW electric motor;0.040491216;
SUV;Ioniq 5 RWD (Long Range);2022;Hyundai;Electric;303;132;98;114;e-motor;168 kW electric motor;0.041963623;
SUV;Kona Electric;2022;Hyundai;Electric;258;132;108;120;e-motor;150 kW electric motor;0.044172235;40795
SUV;Model X AWD;2022;Tesla;Electric;348;107;97;102;e-motor;243 and 248 kW electric motors;0.0375464;
SUV;"Model X Plaid (20"" Wheels)";2022;Tesla;Electric;333;103;93;98;e-motor;230kW electric motors (X3);0.036073992;
SUV;"Model X Plaid (22"" Wheels)";2022;Tesla;Electric;311;94;88;91;e-motor;230kW electric motors (X3);0.033497278;
SUV;Model Y AWD;2022;Tesla;Electric;279;129;116;123;e-motor;91 and 200 kW electric motors;0.045276541;
SUV;Model Y (Long Range) AWD;2022;Tesla;Electric;330;127;117;122;e-motor;91 and 200 kW electric motors;0.044908439;
SUV;Model Y Performance AWD;2022;Tesla;Electric;303;115;106;111;e-motor;133 and 179 kW electric motors;0.040859318;
SUV;Model Y RWD;2022;Tesla;Electric;244;140;119;129;e-motor;209 kW electric motor;0.047485153;
SUV;ID.4 AWD Pro;2022;Volkswagen;Electric;251;106;96;101;e-motor;80 and 150 kW electric motors;0.037178298;
SUV;ID.4 AWD Pro S;2022;Volkswagen;Electric;245;100;90;95;e-motor;80 and 150 kW electric motors;0.034969686;
SUV;ID.4 Pro;2022;Volkswagen;Electric;275;116;98;107;e-motor;150 kW electric motor;0.03938691;
SUV;ID.4 Pro S;2022;Volkswagen;Electric;262;110;93;102;e-motor;150 kW electric motor;0.0375464;
SUV;Kona Electric;2021;Hyundai;Electric;258;132;108;120;e-motor;150 kW electric motor;0.045511146;
SUV;Model X Long Range Plus;2021;Tesla;Electric;371;109;101;105;e-motor;180 and 189 kW electric motor;0.039822253;
SUV;"Model X Performance (20"" Wheels)";2021;Tesla;Electric;341;100;95;97;e-motor;151 and 273 kW electric motors;0.036788176;
SUV;Model Y Long Range AWD;2021;Tesla;Electric;326;131;117;125;e-motor;69 and 201 kW electric motors;0.047407444;
SUV;Model Y Performance AWD;2021;Tesla;Electric;303;115;106;111;e-motor;133 and 179 kW electric motors;0.04209781;
SUV;Model Y Standard Range RWD;2021;Tesla;Electric;244;140;119;129;e-motor;209 kW electric motor;0.048924482;
SUV;ID.4 1st;2021;Volkswagen;Electric;250;104;89;97;e-motor;150 kW electric motor;0.036788176;
SUV;ID.4 AWD Pro;2021;Volkswagen;Electric;249;102;90;97;e-motor;80 and 150 kW electric motors;0.036788176;
SUV;ID.4 Pro;2021;Volkswagen;Electric;260;107;91;99;e-motor;150 kW electric motor;0.037546695;
SUV;ID.4 Pro S;2021;Volkswagen;Electric;250;104;89;97;e-motor;150 kW electric motor;0.036788176;
SUV;ID.4 Pro S AWD ;2021;Volkswagen;Electric;240;98;88;93;e-motor;80 and 150 kW electric motors;0.035271138;
